Time (seconds),Standard Deviation
0,0.30820102471077454
1,0.6507517053072389
2,1.41548491079125
3,1.4004080360043525
4,1.303305715347221
5,1.3308711248162055
6,1.1961909659928598
7,1.173108713654244
8,0.9066253774461227
9,0.44660865507612046
10,0.4119354496558793
11,0.1761750485895674
12,0.18501037244792495
13,0.16268807056646842
14,0.15679011421886113
15,0.15524353093190132
16,0.1549103868073494
17,0.17388846106493122
18,0.16560042294975696
19,0.19439515797346582
20,0.19037477823378193
21,0.20755888627294303
22,0.2423680739164792
23,0.7781645332723258
24,0.8297981469084967
25,0.8930575046204263
26,0.27999835607336576
27,0.24661151353909286
28,0.2782828589511326
29,0.25461483355543996
30,0.25200286553716184
31,0.26382538189407806
32,0.24112279111268686
33,0.26864264762238355
34,0.2559041923071122
35,0.2515182149108945
36,0.23549617531667708
37,0.24281373588833938
38,0.25534530976309744
39,0.2702922745831835
40,0.2547825958838861
41,0.2492623442012151
42,0.260698318337463
43,0.230583008255096
44,0.2123034321187093
45,0.22796728967366794
46,0.20693028080018855
47,0.23524784788421532
48,0.22750158599305556
49,0.20435571449919335
50,0.23434600167179248
51,0.20052148825524405
52,0.19990707023326038
53,0.2243740379991746
54,0.19051010043300504
55,0.20111536005116076
56,0.21399238676749993
57,0.1867256272290903
58,0.19977098334972154
59,0.22009689684246792
60,0.15627201551950928
61,0.3275148027585096
62,0.3085594931758559
63,0.13519748802612558
64,0.14061327240525553
65,0.2316283073077747
66,0.23377144722720736
67,0.21645379681089394
68,0.20539401030840881
69,0.2165341244123155
70,0.1875459147821405
71,0.19281677319050988
72,0.19638906993209312
73,0.16947596526730727
74,0.18730281775616248
75,0.1763563696282751
76,0.12408416259431147
77,0.1217719999110815
78,0.1182760349975213
79,0.10245736131169582
80,0.8286653515724056
81,0.8250701194363615
82,0.8027000864485331
83,0.7780812304243806
84,0.7504262051661778
85,0.7211983720584096
86,0.7892644946388762
87,0.6781754598042947
88,0.6804575150104191
89,0.4319983403694141
90,0.26738992592392047
91,0.25869503920644943
92,0.14327546272745023
93,0.08520827173716311
94,0.10094192221633748
95,0.12399655669340609
96,0.10345943647380251
97,0.10583231068292397
98,0.12174111920810418
99,0.09415679778374202
100,0.08896817753002449
101,0.09687925541171066
102,0.05818981318937032
103,0.08046525172306564
104,0.1109782929285968
105,0.10328325782488977
106,0.14394983744241827
107,0.08812853581529259
108,0.08641644696100995
109,0.05869143644474841
110,0.04072683422689054
111,0.061373101321631374
112,0.05379986243595715
113,0.05086261280380598
114,0.051239659300398095
115,0.05476048239978092
116,0.05345643776038752
117,0.05368424411259734
118,0.04658911452255367
119,0.05107438694258714
120,0.030582030000504124
121,0.04479477830425687
122,0.039430458586253214
123,0.04082771100833758
124,0.060981552739620484
125,0.05829225598702179
126,0.0671220321959863
127,0.06837276326760365
128,0.04473152528728887
129,0.042636797742080734
130,0.029564187666352083
131,0.039466478541921084
132,0.02187889259198828
133,0.041662061443985016
134,0.03625242866951583
135,0.022150271897208713
136,0.036681863568916076
137,0.044893406446714135
138,0.040306695559638485
139,0.03634822038831798
140,0.0451750608265438
141,0.04759785801746623
142,0.029034849659518174
143,0.03937816857838436
